Polygon,x_coord,y_coord,area
"POLYGON ((6255045.640147355 1898625.890432341, 6255064.087087072 1898660.140696033, 6255034.418905664 1898675.343193333, 6255015.805670305 1898640.930617525, 6255045.640147355 1898625.890432341))",6255039.970759632,1898650.5774063552,1301.605148797725
"POLYGON ((6254872.184429605 1898573.452731477, 6254875.839799037 1898611.123467179, 6254898.913824917 1898612.541725629, 6254902.474909657 1898640.377050858, 6254846.37590374 1898647.636131059, 6254837.314642672 1898578.705074916, 6254872.184429605 1898573.452731477))",6254865.552161805,1898614.174830734,3083.1319139888687
"POLYGON ((6254664.077680551 1898514.790621639, 6254664.502131286 1898559.049924335, 6254631.577346494 1898561.005075993, 6254631.885878256 1898610.347507562, 6254424.194747419 1898612.176234901, 6254423.445379401 1898516.93527321, 6254664.077680551 1898514.790621639))",6254536.070906006,1898561.8095743512,21273.6301609921
"POLYGON ((6254982.205294027 1898537.97148169, 6254995.569946808 1898557.516048852, 6254934.938071083 1898607.442330655, 6254919.760104612 1898587.751255897, 6254982.205294027 1898537.97148169))",6254957.831891725,1898572.8570048476,1918.71991257759
"POLYGON ((6255315.924196726 1898469.200727604, 6255350.543196883 1898472.148226145, 6255349.209873728 1898504.948703808, 6255321.210395543 1898505.216634264, 6255319.698283341 1898536.54334594, 6255271.903136344 1898533.721995531, 6255270.146284084 1898522.263122226, 6255250.199995061 1898520.650714741, 6255250.225053315 1898506.059950022, 6255222.043612286 1898504.526385171, 6255221.987060236 1898481.411585642, 6255282.974212752 1898485.745993817, 6255289.40544541 1898469.290576783, 6255315.924196726 1898469.200727604))",6255291.785559584,1898499.7600603807,5440.2442169272545
"POLYGON ((6255134.703815532 1898466.017306373, 6255136.310142884 1898478.953082531, 6255205.485381443 1898478.290781634, 6255205.996892344 1898514.516309249, 6255095.482909169 1898515.738406823, 6255094.845686435 1898466.398987721, 6255134.703815532 1898466.017306373))",6255146.372736205,1898494.1658763087,4537.843758355223
"POLYGON ((6254522.774943402 1898380.07676624, 6254549.394843341 1898407.691030249, 6254505.34961965 1898452.377138125, 6254531.985202419 1898481.630561721, 6254500.795904344 1898509.963321487, 6254449.036896824 1898454.556898571, 6254522.774943402 1898380.07676624))",6254500.383747253,1898445.7249589926,5669.613008092752
"POLYGON ((6254797.876866878 1898382.356668838, 6254809.657515351 1898408.474002912, 6254786.693336837 1898418.53047651, 6254786.86619221 1898436.562105324, 6254806.59000255 1898449.324206091, 6254841.146230985 1898445.714204762, 6254843.189185585 1898487.007191515, 6254798.735114819 1898489.072678398, 6254795.283920063 1898472.711892253, 6254752.059132689 1898448.371515006, 6254754.881722397 1898399.162758719, 6254797.876866878 1898382.356668838))",6254793.615962298,1898441.0582429417,4874.670926840179
"POLYGON ((6254623.464167959 1898402.062348574, 6254654.773524136 1898403.401456672, 6254655.182266858 1898446.021673918, 6254670.021267495 1898447.518754935, 6254655.213708583 1898449.30014984, 6254674.978080615 1898449.110608732, 6254675.160786192 1898485.339325202, 6254647.161290864 1898485.60784521, 6254645.372769473 1898470.870513579, 6254612.250173513 1898469.384871949, 6254611.6055273 1898402.176090855, 6254623.464167959 1898402.062348574))",6254640.269735112,1898443.7859018757,3796.2676085791672
"POLYGON ((6254941.153160226 1898379.344169461, 6254996.180549417 1898449.31075191, 6254974.810172402 1898470.991460683, 6254919.647913521 1898404.141096482, 6254941.153160226 1898379.344169461))",6254957.686971232,1898425.5265220918,2746.866563586911
"POLYGON ((6255201.682801595 1898407.997421213, 6255211.747098479 1898444.131577779, 6255117.715742083 1898446.507324007, 6255117.533537529 1898410.278566249, 6255201.682801595 1898407.997421213))",6255162.250502315,1898427.56151018,3235.346453904787
"POLYGON ((6255348.190325898 1898398.398249377, 6255348.435010831 1898441.183973132, 6255271.040224516 1898443.564021868, 6255269.267677893 1898430.465877801, 6255250.984054078 1898430.476939625, 6255250.84907151 1898399.165886204, 6255348.190325898 1898398.398249377))",6255301.69078217,1898419.6855118326,4017.978074855102
"POLYGON ((6255358.292242351 1898249.116704911, 6255359.854571906 1898257.462685367, 6255349.806054098 1898257.394894195, 6255358.292242351 1898249.116704911))",6255355.9842894515,1898254.6580948243,41.87941054113864
